send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-07-07,2025-07-05,34-42117,III,2025,Jl. Raya Serang-Jakarta KM. 69,Kab Serang,DODO,SBM Banten II Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,89.57,86.67,100.00,93.24,97.00,52.31,Pasti Pas Good,,"Jalur Fast Track, NFR, Produk JBU"
2025-07-07,2025-07-05,54-67118,V,2025,"Jl. Soekarno-Hatta, Karang Ketuk",Kota Pasuruan,DODO,SBM Malang I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,89.8,87.33,100.00,91.24,90.50,62.83,Pasti Pas Good,,"Jalur Fast Track, Produk JBU, NFR"
2025-07-07,2025-07-05,54-61326,V,2025,Jl. Raya By Pass Ds. Balongmojo,Kab Mojokerto,DODO,SBM Surabaya I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,90.11,89.33,100.00,86.66,96.00,63.76,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,34-15302,III,2025,Jl. Raya Serpong,Kota Tangerang Sel.,DODO,SBM Banten I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.22,95.67,100.00,88.05,94.50,44.58,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-07,2025-07-05,54-60192,V,2025,Jl. Tegalsari No.43-45,Kota Surabaya,,SBM Surabaya I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,92.88,94.67,100.00,87.60,88.00,81.60,Pasti Pas Excellent,,
2025-07-08,2025-07-05,44-53110,IV,2025,"Jl. Soeparjo Rustam, Sokaraja Kulon, Banyumas",Kab Banyumas,DODO,SBM Tegal III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.93,91.33,100.00,97.50,100.00,60.30,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,43-59318,IV,2025,JL. LINGKAR PEDAWANG KEL. BACIN KEC BAE,Kab Kudus,,SBM Semarang III Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,89.04,85.67,99.09,85.47,100.00,64.76,Pasti Pas Good,,"NFR, Produk JBU"
2025-07-07,2025-07-05,54-68119,V,2025,"Jl. Walter Mangunsidi, Jember",Kab Jember,DODO,SBM Malang II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.51,89.33,100.00,95.02,98.00,48.96,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-07,2025-07-05,24-345106,II,2025,Jl. Lintas Sumatra Abung Barat Lampung Utara,Kab Lampung Utara,DODO,SBM Lampung III Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,83.82,87.67,92.33,87.30,86.00,37.56,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-07,2025-07-05,14-231484,I,2009,"Jl. M. Hasan, Batoh",Kota Banda Aceh,DODO,SBM Aceh I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,91.52,91.33,100.00,90.70,96.00,63.76,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-08,2025-07-05,34-40326,III,2025,Jl. Terusan Bojong Soang,Kab Bandung,DODO,SBM Bandung II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.05,82.33,98.99,91.17,95.00,69.01,Pasti Pas Good,,"Produk JBU, NFR"
2025-07-07,2025-07-05,54-61206,V,2025,Ds. Ngaban Kec.Tanggulangin,Kab Sidoarjo,,SBM Surabaya II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,88.01,89.33,100.00,89.98,94.50,37.56,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-08,2025-07-05,34-16302,III,2025,JL Gunung Sindur,Kab Bogor,,SBM Jabode V Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,85.41,83.33,92.70,88.49,93.00,56.15,Pasti Pas Good,,"Jalur Fast Track, NFR, Produk JBU"
2025-07-08,2025-07-05,44-51119,IV,2025,Jl Raya Buaran Kradenan ,Kota Pekalongan,DODO,SBM Tegal II Fuel,TAGE3,DAE,CERTIFIED,CERTIFIED,93.02,93.33,100.00,90.26,97.00,72.60,Pasti Pas Excellent,,
2025-07-08,2025-07-05,33-41301,III,2025,Jl. Interchange Dawuan Cikampek Karawang ,Kab Karawang,CODO I,SBM Karawang II Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,89.22,84.00,100.00,94.60,98.00,52.95,Pasti Pas Good,,"NFR, Jalur Fast Track, Produk JBU"
2025-07-07,2025-07-05,44-55612,IV,2025,"Jl. Nanggulan - Muntilan Ds. Banjararum, Kec. Kalibawang",Kab Kulon Progo,DODO,SBM Yogyakarta I Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,88.74,91.67,95.21,83.67,98.00,61.46,Pasti Pas Good,Masa Berlaku APAR,"Jalur Fast Track, Masa Berlaku APAR, NFR"
2025-07-07,2025-07-05,54-68401,V,2025,"Jl. Hayam Wuruk Ds. Kedungrejo, Muncar",Kab Banyuwangi,DODO,SBM Malang III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.85,89.33,100.00,91.60,100.00,57.33,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,34-40201,III,2025,Jl. Soekarno Hatta No.55,Kota Bandung,DODO,SBM Bandung I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.69,98.67,100.00,88.45,97.00,66.96,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,34-13206,III,2025,Jl. Pemuda Kav. 3-4,Kota Jakarta Timur,CODO I,SBM Jabode I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.99,89.33,100.00,98.15,100.00,65.60,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,54-63104,V,2025,Jl. Yos Sudarso No. 80 A,Kota Madiun,,SBM Kediri III Fuel,TAGE3,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,87.64,89.33,100.00,82.22,94.00,49.73,Basic,,"NFR, Jalur Fast Track"
2025-07-08,2025-07-05,34-16511,III,2025,Jl. Sawangan Depok,Kota Depok,DODO,SBM Jabode III Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,91.7,88.67,100.00,96.80,93.00,64.40,Pasti Pas Good,,NFR
2025-07-07,2025-07-05,14-251597,I,2025,Jl. By Pass Km.10 Kota Padang,Kota Padang,DODO,SBM Sumatera Barat I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,85.88,83.33,96.35,89.45,84.00,56.90,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-08,2025-07-05,64-70202,VI,2025,"Jl. Ahmad Yani km 6,00, Banjarmasin, Kalimantan Selatan",Kota Banjarmasin,DODO,SBM Kalsel I Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,86.38,85.33,92.72,91.30,89.00,58.00,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,34-14109,III,2025,Jl. Raya Cilincing No. 17,Kota Jakarta Utara,DODO,SBM Jabode II Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,89.65,90.33,100.00,92.00,98.00,43.46,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-07,2025-07-05,34-46116,III,2025,Jl. Raya Ciawi Gentong Kadipaten,Kab Tasikmalaya,DODO,SBM Bandung IV Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,84.49,81.00,95.21,87.15,83.00,58.93,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-07,2025-07-05,54-80812,V,2025,BANJAR ABIANSOAN DS. BUNGAYA KANGIN,Kab Karangasem,DODO,SBM Bali III Fuel,TAGE1,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,64.77,67.00,53.97,74.41,91.50,44.81,Basic,"Izin Prinsip, Masa Berlaku APAR","Jalur Fast Track, Produk JBU, NFR, Izin Prinsip, Masa Berlaku APAR"
2025-08-01,2025-07-05,24-321165,II,2025,Jl. Lintas Baturaja Prabumulih Lubuk Batang,Kab Ogan Kom Ulu,DODO,SBM Sumsel III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.54,86.33,100.00,91.65,93.00,70.10,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-07,2025-07-05,44-55712,IV,2025,"Jl. Srandakan Km. 6,5, Pandak",Kab Bantul,DODO,SBM Yogyakarta I Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,85.3,88.00,84.48,87.86,98.00,61.78,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,44-57618,IV,2025,"Gondang, 001/001, Bulukerto, Bulukerto",Kab Wonogiri,DODO,SBM Yogyakarta IV Fuel,TAG2,TAG3,CERTIFIED,NOT CERTIFIED,88.5,88.89,100.00,91.98,85.00,50.26,Pasti Pas Good,,"Produk JBU, NFR"
2025-07-07,2025-07-05,24-353158,II,2025,"Jl. Raya Panutan 1-16, Desa Pagelaran, Kec. Pagelaran, Kabupaten Pringsewu",Kab Pringsewu,DODO,SBM Lampung I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,86.97,86.33,100.00,88.53,88.00,45.58,Pasti Pas Good,,NFR
2025-07-07,2025-07-05,44-51214,IV,2025,"Jl. Walisongo No. 2, Bawang",Kab Batang,DODO,SBM Semarang II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.43,86.67,95.21,87.38,91.00,62.71,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-07,2025-07-05,54-62208,V,2025,Jl. Sunan Drajat No.174,Kab Lamongan,DODO,SBM Surabaya III Fuel,DAG2,TAG1,NOT CERTIFIED,NOT CERTIFIED,75.79,81.33,76.81,76.90,79.50,50.16,Pasti Pas Good,Masa Berlaku APAR,"NFR, Jalur Fast Track, Masa Berlaku APAR"
2025-07-07,2025-07-05,44-52113,IV,2025,Jl. Dr. Cipto Cabawan,Kota Tegal,DODO,SBM Tegal I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,91.47,88.33,100.00,91.95,100.00,65.80,Pasti Pas Good,,NFR
2025-07-07,2025-07-05,44-54114,IV,2025,Jl.Magelang km 05 Loano ,Kab Purworejo,DODO,SBM Yogyakarta II Fuel,DAG3,DAGE,CERTIFIED,NOT CERTIFIED,90.36,89.00,100.00,92.65,88.00,63.10,Pasti Pas Good,,Jalur Fast Track
2025-07-08,2025-07-05,34-40253,III,2025,Jl. Soekarno Hatta No. 491,Kota Bandung,DODO,SBM Bandung I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,88.95,86.00,100.00,88.60,97.00,57.30,Pasti Pas Good,,NFR
2025-07-28,2025-07-05,44-50113,IV,2025,Jl.dr Hamka no.120 Raya Ngaliyan,Kota Semarang,DODO,SBM Semarang I Fuel,TAGE2,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,79.06,72.33,78.95,80.48,99.00,76.70,Basic,,
2025-07-07,2025-07-05,54-60132,V,2025,Jl. Semarang No.94,Kota Surabaya,DODO,SBM Surabaya I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.43,92.67,100.00,90.83,80.00,54.50,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-08,2025-07-05,34-41222,III,2025,Jl. Raya Sukasari KM. 4 Pamanukan,Kab Subang,DODO,SBM Karawang III Fuel,TAGE1,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,81.49,83.67,75.36,87.93,98.00,63.76,Basic,,"NFR, Jalur Fast Track"
2025-07-07,2025-07-05,64-78317,VI,2025,JL Ahmad Yani II Kab. Kubu Raya,Kab Kubu Raya,,SBM Kalbar I Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,88.8,89.33,100.00,91.66,97.00,39.56,Pasti Pas Good,,"Jalur Fast Track, Produk JBU, NFR"
2025-07-07,2025-07-05,64-75119,VI,2025,Jl KH Mas Mansyur No 50 Loa Bakung,Kota Samarinda,DODO,SBM Kaltimut II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.5,89.33,99.09,92.14,96.00,49.41,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,44-50229,IV,2025,Jl. Veteran No. 18-20,Kota Semarang,DODO,SBM Semarang I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,91.81,87.33,100.00,96.75,95.00,67.60,Pasti Pas Good,,NFR
2025-07-08,2025-07-05,34-43207,III,2025,Jl. Ciherang  Pacet Cianjur,Kab Cianjur,DODO,SBM Sukabumi I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,87.32,82.33,92.72,93.29,96.00,65.56,Pasti Pas Good,,"Jalur Fast Track, NFR, Produk JBU"
2025-07-07,2025-07-05,24-301190,II,2025,JL. RA Abusamah No. 7 Palembang,Kota Palembang,DODO,SBM Sumsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,88.98,86.33,99.04,91.63,99.00,51.20,Pasti Pas Good,,NFR
2025-07-07,2025-07-05,34-15301,III,2025,Jl. Raya Serpong,Kota Tangerang Sel.,DODO,SBM Banten I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.16,88.00,100.00,87.52,98.00,54.51,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-07,2025-07-05,14-205178,I,2025,Jl. Bandara Kuala Namo ,Kab Deli Serdang,DODO,SBM Medan II Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,88.56,80.33,99.13,92.30,95.00,67.60,Pasti Pas Good,,NFR
2025-07-07,2025-07-05,54-67134,V,2025,Jl. Pulokerto - Kraton,Kab Pasuruan,DODO,SBM Malang I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,87.07,89.33,96.17,88.70,88.00,48.81,Pasti Pas Good,,"NFR, Produk JBU"
2025-07-07,2025-07-05,34-11407,III,2025,Jl. Kemanggisan Utama Raya No.52A Jakbar,Kota Jakarta Barat,DODO,SBM Jabode II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.58,91.33,100.00,94.10,98.00,65.60,Pasti Pas Good,,"NFR, Jalur Fast Track"
