send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-09-12,2025-09-11,34-12103,III,2025,Jl. Lingkar Selatan (TB. Simatupang),Kota Jakarta Selatan,DODO,SBM Jabode III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.18,89.33,100.00,92.60,93.00,65.60,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-09-13,2025-09-11,14-2031149,I,2025,"Jl. Perhubungan, Lau Dendang",Kab Deli Serdang,DODO,SBM Medan II Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,85.98,73.67,100.00,92.65,98.00,55.28,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-09-12,2025-09-11,64-79410,VI,2025,Jl. Nasional Aruk Desa Sebunga Kec. Sajingan Besar,Kab Sambas,,SBM Kalbar I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,85.93,81.00,100.00,90.43,96.00,39.16,Pasti Pas Good,,"Produk JBU, NFR, Jalur Fast Track"
2025-09-12,2025-09-11,54-66235,V,2025,Desa Jeli Kec.Karangrejo Kab.Tulungagung,Kab Tulungagung,,SBM Kediri II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,86.6,82.67,100.00,88.52,84.00,56.76,Pasti Pas Good,,"Produk JBU, NFR"
2025-09-11,2025-09-11,51-65116,V,2025,Jl. Raya Langsep,Kota Malang,COCO,SBM Malang I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,91.57,85.67,100.00,90.90,100.00,76.90,Pasti Pas Excellent,,
2025-09-12,2025-09-11,34-15415,III,2025,Jl. RE. Martadinata Ciputat,Kota Tangerang Sel.,,SBM Banten I Fuel,Re-CAE1,TAGE1,CERTIFIED,NOT CERTIFIED,88.84,90.00,100.00,88.55,89.00,52.30,Pasti Pas Good,,NFR
2025-09-12,2025-09-11,34-45143,III,2025,Jl. Raya Ciperna-Kuningan,Kab Cirebon,DODO,SBM Cirebon I Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,84.42,80.67,100.00,86.25,86.00,43.71,Pasti Pas Good,APAB,"Jalur Fast Track, NFR, Produk JBU, APAB"
2025-09-11,2025-09-11,44-52106,IV,2025,Jl. Raya Adiwerna,Kab Tegal,DODO,SBM Tegal I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,90.59,97.67,86.13,93.17,100.00,68.20,Pasti Pas Excellent,,
2025-09-13,2025-09-11,34-15506,III,2025,Jl. Raya Pasar Kemis Cikupa,Kab Tangerang,DODO,SBM Banten I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.82,85.33,99.09,91.58,88.00,55.28,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-09-12,2025-09-11,64-75304,VI,2025,Jl. Yos Sudarso II,Kab Kutai Timur,DODO,SBM Kaltimut III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.1,82.67,100.00,94.80,92.00,61.50,Pasti Pas Good,,"NFR, Jalur Fast Track"
