send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-11-03,2025-11-03,24-34519,II,2025,JL Raya Abung Selatan,Kab Lampung Utara,DODO,SBM Lampung III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,84.04,82.33,96.17,86.47,92.00,39.93,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-04,2025-11-03,54-64153,V,2025,Jln. Ahmad Dahlan No. 153 Kelurahan Mojoroto,Kota Kediri,,SBM Kediri I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.51,92.67,100.00,91.76,100.00,53.50,Pasti Pas Good,,NFR
2025-11-03,2025-11-03,34-15714,III,2025,Jl Raya Cisoka Tigaraksa Ds Caringin,Kab Tangerang,DODO,SBM Banten I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,88.52,84.67,100.00,91.83,95.00,52.43,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-04,2025-11-03,44-59205,IV,2025,"Jl. Raya Tuban-Rembang Ds, Laren, Sluke",Kab Rembang,DODO,SBM Semarang IV Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,81.45,82.33,92.33,89.20,72.00,40.10,Pasti Pas Good,APAB,"NFR, APAB, Jalur Fast Track"
2025-11-03,2025-11-03,54-61321,V,2025,Jl. Brawijaya Desa Sawahan Kec. Mojosari,Kab Mojokerto,DODO,SBM Surabaya I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.62,95.33,85.43,91.77,92.50,57.83,Pasti Pas Good,,NFR
2025-11-04,2025-11-03,14-2031117,I,2025,"Jl. Binjai, Sei Semayang",Kab Deli Serdang,DODO,SBM Medan II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,93.22,89.67,98.26,94.10,98.00,82.30,Pasti Pas Excellent,,
2025-11-04,2025-11-03,44-58108,IV,2025,Jl. Godong Klampok Km.16,Kab Grobogan,DODO,SBM Semarang III Fuel,DAG3,TAG1,NOT CERTIFIED,NOT CERTIFIED,80.3,79.33,84.48,83.72,87.00,57.06,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-03,2025-11-03,44-55515,IV,2025,Jl. Jogja Solo Km 13 Kalasan,Kab Sleman,Kusnandar,SBM Yogyakarta I Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,86.72,82.67,99.04,82.15,98.00,59.80,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-03,2025-11-03,74-90980,VII,2025,JL. POROSSIWA,Kab Wajo,,SBM Sulselbar III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.17,95.33,100.00,88.54,93.00,45.56,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-04,2025-11-03,44-51214,IV,2025,"Jl. Walisongo No. 2, Bawang",Kab Batang,DODO,SBM Semarang II Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,81.54,88.00,83.66,85.87,70.00,58.16,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-03,2025-11-03,44-53415,IV,2025, JL. Raya Klampok RT 04 RW 05 Kec. Purwareja Klampok Kab. Banjarnegara ,Kab Banjarnegara,DODO,SBM Tegal IV Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,94.21,96.67,100.00,94.10,96.00,67.90,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-03,2025-11-03,74-95302,VII,2025,Jl. Trans Sulawesi Desa Tumpaan II,Kab Minahasa Selatan,DODO,SBM Sulutgo II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.92,96.67,99.04,87.44,89.50,47.56,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-03,2025-11-03,54-83614,V,2025,Desa Gunung Rajak Kec. Sakra Barat Lotim,Kab. Lombok Timur,DODO,SBM NTB I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.67,89.67,100.00,90.50,90.50,56.20,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-03,2025-11-03,54-68108,V,2025,Jl. PB Sudirman No.149 Tanggul,Kab Jember,DODO,SBM Malang II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,94.03,96.67,100.00,88.75,100.00,72.78,Pasti Pas Excellent,,
2025-11-03,2025-11-03,54-69207,V,2025,Desa Bancelok Sampang,Kab Sampang,DODO,SBM Surabaya IV Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,86.73,84.33,100.00,85.40,96.00,47.53,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-03,2025-11-03,34-13418,III,2025,Jl. H. Naman No. 29 Pondok Kelapa Jaktim,Kota Jakarta Timur,DODO,SBM Jabode I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,88.89,81.67,100.00,92.20,97.00,62.60,Pasti Pas Good,,NFR
2025-11-03,2025-11-03,44-55210,IV,2025,"Jl. Laksda Adisucipto Km 6 No.32, Caturtunggal, Depok, Sleman",Kab Sleman,DODO,SBM Yogyakarta I Fuel,DAG3,DAGE,CERTIFIED,NOT CERTIFIED,91.52,90.00,100.00,92.00,100.00,61.23,Pasti Pas Good,,NFR
2025-11-03,2025-11-03,54-63117,V,2025,DS. PATIHAN - KEC MANGUNHARJO,Kota Madiun,DODO,SBM Kediri III Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,82.94,80.67,86.97,85.39,95.50,60.31,Pasti Pas Good,,"Jalur Fast Track, NFR, Produk JBU"
2025-11-04,2025-11-03,11-288601,I,2025,"Jl. Putri Tujuh, Dumai",Kota Dumai,COCO,SBM Riau II Fuel,DAGE,DAE,CERTIFIED,CERTIFIED,90.41,94.00,86.13,93.80,99.00,77.20,Pasti Pas Excellent,,
2025-11-04,2025-11-03,34-46110,III,2025,Jl. Sutisna Senjaya No.195 Tasikmalaya,Kota Tasikmalaya,DODO,SBM Bandung IV Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,83.61,80.00,91.38,85.12,90.00,61.70,Pasti Pas Good,,NFR
2025-11-03,2025-11-03,34-12306,III,2025,Jl. Kesehatan Raya No. 15 Bintaro Jaksel,Kota Jakarta Selatan,DODO,SBM Jabode III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,86.4,82.00,100.00,89.25,89.50,50.00,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-04,2025-11-03,44-59409,IV,2025,Jl. Raya Jepara - Bangsri Ds. Wonorejo,Kab Jepara,DODO,SBM Semarang III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.1,86.67,100.00,91.25,98.00,50.46,Pasti Pas Good,,NFR
2025-11-03,2025-11-03,74-96223,VII,2025,Jl. Agus Salim  Telaga,Kota Gorontalo,DODO,SBM Sulutgo III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.09,96.67,99.04,91.27,90.00,51.30,Pasti Pas Good,,NFR
2025-11-04,2025-11-03,44-50208,IV,2025,"Jl. Tentara Pelajar, Kedungmundu",Kota Semarang,DODO,SBM Semarang I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,90.93,86.67,99.04,93.60,97.00,68.00,Pasti Pas Excellent,,
2025-11-03,2025-11-03,54-85105,V,2025,Jaln Timor Raya km 10 Oesapa.,NTT,DODO,SBM NTT I Fuel,DAG1,DAG2,CERTIFIED,NOT CERTIFIED,83.65,80.00,90.46,95.55,94.00,40.00,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-03,2025-11-03,34-17541,III,2025,"Jl. Inspeksi Kali Malang NO.27, Kec. Tambun Selatan",Kab Bekasi,DODO,SBM Karawang I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.69,93.33,96.35,93.70,97.00,63.48,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-03,2025-11-03,34-41322,III,2025,"Jl. Syech Quro, Telagasari",Kab Karawang,DODO,SBM Karawang II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,88.05,84.67,100.00,93.19,92.00,48.13,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-04,2025-11-03,34-45148,III,2025,Jl. Raya Gebang Mekar,Kab Cirebon,DODO,SBM Cirebon I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.23,86.00,100.00,92.05,98.00,52.23,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-03,2025-11-03,44-52408,IV,2025,Jl. Raya Ds. Jatinegara,Kab Tegal,DODO,SBM Tegal I Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,90.16,96.67,95.21,89.29,91.50,55.70,Pasti Pas Good,APAB,"Jalur Fast Track, APAB, NFR"
2025-11-03,2025-11-03,34-43203,III,2025,Jl. Raya Ciranjang - Cianjur,Kab Cianjur,DODO,SBM Sukabumi I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,91.23,85.33,100.00,92.56,100.00,71.20,Pasti Pas Excellent,,
