send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts
2026-04-16,2026-04-15,54-85503,V,2026,"Niki Niki, Kec. Amanuban Tengah, Kabupaten Timor Tengah Selatan",NTT,DODO,SBM NTT I Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,"83,62","84,22","94,35","90,05",87,"35,36",Pasti Pas Good,
2026-04-09,2026-04-09,54-85504,V,2026,"Mnelalete, Kec. Amanuban Bar., Kabupaten Timor Tengah Selatan",Kab Timor Tengah Selatan,DODO,SBM NTT I Fuel,DAG1,DAG2,CERTIFIED,NOT CERTIFIED,"88,84","93,67","92,33","91,79",98,"48,8",Pasti Pas Good,
2026-04-10,2026-04-10,54-85601,V,2026,Jl. Sonbay Kefamenanu,Kab Timor Tengah Utara,DODO,SBM NTT I Fuel,DAG1,DAG2,CERTIFIED,NOT CERTIFIED,"85,52","85,33","94,96","89,42",98,"36,96",Pasti Pas Good,
2026-04-14,2026-04-11,54-85703,V,2026,"Jl. Moh. Yamin, Fatukbot, Kec. Atambua Sel., Kabupaten Belu",NTT,DODO,SBM NTT I Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,"91,33","93,22",100,"97,1",97,"42,4",Pasti Pas Good,
2026-04-10,2026-04-10,54-86303,V,2026,Jl. Prof WZ Yohanes,Kab Ende,,SBM NTT II Fuel,TAG1,Re-CA1,NOT CERTIFIED,NOT CERTIFIED,"78,42","88,89","63,58","87,25",97,"56,25",Basic,
2026-04-21,2026-04-20,54-87101,V,2026,Jl. MT.Haryono Waingapu,Kab Sumba Timur,DODO,SBM NTT I Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,"91,34","97,67",100,"91,55",97,40,Pasti Pas Good,
2026-04-23,2026-04-23,54-87202,V,2026,DS RADAMATA,Sumba barat daya,DODO,SBM NTT I Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,"81,88","84,89","90,71","86,12","84,5","36,7",Pasti Pas Good,
2026-04-23,2026-04-22,54-87204,V,2026,"Lombu, Kec. Wewewa Tim., Kabupaten Sumba Barat Daya",NTT,DODO,SBM NTT I Fuel,DAG3,DAGE,CERTIFIED,NOT CERTIFIED,"87,06","85,33",100,"90,8",97,36,Pasti Pas Good,
2026-04-23,2026-04-23,54-87401,V,2026,Jl. Raya Waikabubak-Anakalang Kec. Katikutana,Kab Sumba Tengah,DODO,SBM NTT I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"89,07","89,33",100,"91,43",97,"42,8",Pasti Pas Good,
2026-04-10,2026-04-09,61-711001,VI,2026,Jl. Brigjend Hasan Basri KM 4 - Rantau,Kab Tapin,COCO,SBM Kalsel II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"90,59","90,67",100,"91,6",90,"60,7",Pasti Pas Good,
2026-04-07,2026-04-07,61-74101,VI,2026,"Jl.Panglima Utar, Sei Kapitan Kumai",Kab KotawaringinBar,COCO,SBM Kalteng II Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,"88,12","84,67",100,"91,02",95,"50,1",Pasti Pas Good,
2026-04-06,2026-04-02,61-75101,VI,2026,Jl. Kusuma Bangsa,Kota Samarinda,COCO,SBM Kaltimut II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"90,22","89,33","96,35","96,09",85,"67,9",Pasti Pas Good,
2026-04-06,2026-04-02,61-75102,VI,2026,Jl. Slamet Riyadi Samarinda,Kota Samarinda,COCO,SBM Kaltimut II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"93,08","90,33",100,"93,81",92,"80,2",Pasti Pas Excellent,
2026-04-13,2026-04-10,61-75501,VI,2026,"Rest Area Tol Balikpapan – Samarinda, Km.38, Kec. Samboja",Kab KutaiKartanegara,,SBM Kaltimut II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"90,71","89,33",100,"95,56",95,53,Pasti Pas Good,
2026-04-13,2026-04-11,61-76101,VI,2026,Jl. Letjend Suprapto,Kota Balikpapan,,SBM Kaltimut I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"93,05","92,67",100,"97,28",80,"77,9",Pasti Pas Excellent,
2026-04-14,2026-04-11,61-76102,VI,2026,Jl. Marsma Iswahyudi,Kota Balikpapan,,SBM Kaltimut I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"89,56","81,56","96,17","96,24",100,"64,9",Pasti Pas Good,
2026-04-13,2026-04-10,61-76103,VI,2026,Jl. MT Haryono,Kota Balikpapan,,SBM Kaltimut I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"92,03",86,100,"93,1",100,"76,1",Pasti Pas Excellent,
2026-04-10,2026-04-09,61-78301,VI,2026,Jl.Raya Nusapati Kec. Sungai Pinyuh,Kab Mempawah,COCO,SBM Kalbar I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,"89,36","88,67",100,"91,14",93,"52,13",Pasti Pas Good,
