send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-05-29,2025-05-27,24-34102,II,2025,Jl. Mulyo Jati,Kota Metro,DODO,SBM Lampung II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.22,100.00,100.00,95.52,93.00,48.10,Pasti Pas Good,,NFR
2025-05-28,2025-05-27,34-40515,III,2025,Jl. Gempol Asri - Melong Asih Cimahi,Kota Cimahi,DODO,SBM Bandung I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.91,95.33,100.00,90.10,97.00,45.90,Pasti Pas Good,,NFR
2025-06-12,2025-05-27,34-13703,III,2025,Jl. Raya Ciracas No. 107 Kec. Ciracas,Kota Jakarta Timur,DODO,SBM Jabode I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,96.18,100.00,100.00,99.60,100.00,62.60,Pasti Pas Good,,NFR
2025-05-28,2025-05-27,54-64123,V,2025,Desa Tanbi Bendo Kec Mojo,Kab Kediri,DODO,SBM Kediri I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.54,96.67,100.00,88.85,81.00,46.66,Pasti Pas Good,,"NFR, Produk JBU"
2025-05-28,2025-05-27,34-46304,III,2025,Jl. Raya Ciokong Pangandaran,Kab Pangandaran,DODO,SBM Bandung IV Fuel,TAGE2,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,72.71,62.89,89.50,75.80,76.00,48.80,Basic,"Masa Berlaku APAR, Izin Prinsip, HP","Masa Berlaku APAR, Izin Prinsip, HP, NFR"
2025-05-29,2025-05-27,44-59528,IV,2025,"Jl Raya Guntur, Desa Grogol, Kec Karangtengah",Kab Demak,DODO,SBM Semarang III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,94.11,100.00,100.00,99.17,93.00,49.73,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-05-28,2025-05-27,34-43201,III,2025,"Jl Raya Bandung, Karang Tengah",Kab Cianjur,DODO,SBM Sukabumi I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.15,93.33,100.00,93.19,95.00,60.13,Pasti Pas Good,,"Jalur Fast Track, Produk JBU, NFR"
2025-05-28,2025-05-27,61-78301,VI,2025,Jl.Raya Nusapati Kec. Sungai Pinyuh,Kab Mempawah,COCO,SBM Kalbar I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,95.13,100.00,100.00,98.40,100.00,54.38,Pasti Pas Good,,"NFR, Produk JBU"
2025-05-28,2025-05-27,34-17130,III,2025,Jl. Raya Pondok Ungu Permai No.2,Kab Bekasi,DODO,SBM Karawang I Fuel,TAGE1,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,56.35,28.00,53.77,84.80,95.50,53.10,Basic,"Nol, Trims, Salam, Produk JBU","Nol, Trims, Salam, Produk JBU, Rompi Khusus, Jalur Fast Track, NFR"
2025-05-28,2025-05-27,34-12804,III,2025,"Jl.DR.Supomo,Tebet",Kota Jakarta Selatan,DODO,SBM Jabode III Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,92.63,95.67,100.00,93.35,100.00,52.56,Pasti Pas Good,,"NFR, Produk JBU"
2025-06-24,2025-05-27,14-214263,I,2025,"Jl. Lintas Sumatera, Pinang Awan",Kab. Labuhan Batu,DODO,SBM Sibolga III Fuel,Re-CAE1,TAGE1,CERTIFIED,NOT CERTIFIED,91.2,96.00,100.00,89.20,93.00,52.56,Pasti Pas Good,,"Jalur Fast Track, Produk JBU, NFR"
2025-05-28,2025-05-27,34-45306,III,2025,Jl. Raya Sukatali,Kab Sumedang,DODO,SBM Bandung III Fuel,TAGE1,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,81.38,91.67,88.29,62.37,85.50,63.90,Basic,Izin Prinsip,"NFR, Rompi Khusus, Izin Prinsip, Jalur Fast Track"
2025-05-29,2025-05-27,44-53209,IV,2025,KOMPLEK PELABUHAN,Kab Cilacap,DODO,SBM Tegal III Fuel,TAG2,TAG3,CERTIFIED,NOT CERTIFIED,89.41,96.67,100.00,98.35,72.50,34.91,Pasti Pas Good,,"Produk JBU, Rompi Khusus, NFR"
2025-07-02,2025-05-27,34-15405,III,2025,Jl. IR. H. Juanda,Kota Tangerang Sel.,DODO,SBM Banten I Fuel,TAG2,TAG3,CERTIFIED,NOT CERTIFIED,87.68,95.33,92.33,90.10,87.00,46.61,Pasti Pas Good,,"Produk JBU, NFR"
