send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-06-29,2025-06-14,44-53106,IV,2025,Jl. Gerilya Timur 46 Purwokerto,Kab Banyumas,,SBM Tegal III Fuel,DAGE,DAE,CERTIFIED,CERTIFIED,94.32,92.67,100.00,97.15,100.00,70.90,Pasti Pas Excellent,,
2025-06-27,2025-06-14,74-90980,VII,2025,JL. POROSSIWA,Kab Wajo,,SBM Sulselbar III Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,81.1,75.00,88.30,90.45,90.00,50.16,Pasti Pas Good,,"Produk JBU, Jalur Fast Track, NFR"
2025-06-25,2025-06-14,34-15815,III,2025,Jl. Bulevar Gading Serpong,Kab Tangerang,DODO,SBM Banten I Fuel,DAE,DAGE,CERTIFIED,NOT CERTIFIED,89.7,80.51,100.00,92.29,100.00,69.70,Pasti Pas Good,,
2025-06-18,2025-06-13,24-35177,II,2025,"Jl. Zainal Abidin, Pagar Alam, Lampung",Kota Bandar Lampung,,SBM Lampung I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.5,91.33,100.00,91.90,94.00,53.23,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-06-26,2025-06-13,54-63224,V,2025,DSN. PEPEAN DS. SIDOMULYO KEC. NGRAMBE,Kab Ngawi,DODO,SBM Kediri III Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,50.89,49.44,31.29,71.73,91.50,27.06,Basic,"PELUMAS, Masa Berlaku APAR, Jalur Fast Track","NFR, PELUMAS, Masa Berlaku APAR, Jalur Fast Track"
2025-06-23,2025-06-13,64-73106,VI,2025,"Jl. Lintas Kalimantan KM 10,00",Kab Pulang Pisau,DODO,SBM Kalteng I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.03,95.33,100.00,90.90,95.00,37.51,Pasti Pas Good,,"NFR, Produk JBU"
2025-06-25,2025-06-13,44-59428,IV,2025,Jl. Mayong-Pancur RT 2 RW 3,Kab Jepara,DODO,SBM Semarang III Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,85.26,87.89,92.72,81.06,96.00,53.83,Basic,APAB,"NFR, APAB, Produk JBU"
2025-06-19,2025-06-13,14-261530,I,2025,Jl Soekarno Hatta Garegeh Bukittinggi,Kota Bukit Tinggi,DODO,SBM Sumatera Barat II Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,91.37,91.67,100.00,91.86,98.00,56.90,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-06-25,2025-06-13,34-16802,III,2025,JL Raya Jonggol Cileungsi,Kab Bogor,,SBM Jabode V Fuel,Re-CAE1,TAGE1,CERTIFIED,NOT CERTIFIED,90.61,89.33,100.00,94.30,98.00,51.54,Pasti Pas Good,,"Jalur Fast Track, Produk JBU, NFR"
2025-06-29,2025-06-13,54-61122,V,2025,Jl. Raya Menganti Sidowungu Gresik,Kab Gresik,,SBM Surabaya III Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,87.78,84.33,100.00,89.20,95.00,51.43,Pasti Pas Good,,NFR
